animal;age;Accessory_olfactory_bulb;Cortical_amygdalar_area;Dentate_gyrus;Entorhinal_area;Field_CA1;Field_CA2;Field_CA3
AD21002;12;0;3;3;14;98;0;0
AD21003;12;0;0;0;0;3;0;0
AD21005;12;0;0;0;3;38;0;0
AD21006;12;0;0;0;0;0;0;0
AD21012;9;0;0;0;0;3;0;0
AD21013;9;0;0;0;0;0;0;0
AD21014;9;0;0;0;0;0;0;0
AD21015;9;0;0;0;0;9;0;1
AD21016;9;0;0;0;0;1;0;2
AD21017;9;0;0;0;0;0;0;0
AD21035;12;0;0;3;0;36;19;44
AD21036;12;0;1;15;0;23;0;14
AD21037;12;0;4;1;0;37;9;6
AD21050;6;0;0;0;0;8;0;0
AD21051;6;0;0;0;0;6;0;0
AD21052;6;0;0;0;1;9;0;0
AD21053;6;0;0;0;0;1;0;0
AD21054;6;0;0;0;0;0;0;0
AD21055;6;0;0;0;0;2;0;0
AD22031;3;0;0;0;0;3;0;0
AD22032;3;0;0;0;0;0;0;0
AD22034;3;0;0;0;2;9;0;0
AD22040;3;0;0;0;0;18;0;0
AD22041;3;0;0;0;0;19;0;0
AD22042;3;0;0;0;0;5;0;0